epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.1063,0.4742,1.27372,0.89742,0.99973,1,0.995,0.93431,0.34243,0.53251,0.78732,0.00065625,0.00065625,0.00065625
2,161.421,0.40045,0.59083,0.86148,0.99214,1,0.99474,0.87157,0.45195,0.69169,0.78876,0.0012356,0.0012356,0.0012356
3,229.104,0.39528,0.55328,0.84341,0.99962,1,0.995,0.91233,0.39745,0.49475,0.77235,0.00172696,0.00172696,0.00172696
4,308.307,0.3519,0.50533,0.84054,0.99977,1,0.995,0.9503,0.30094,0.41941,0.77799,0.001604,0.001604,0.001604
5,380.034,0.3379,0.48348,0.83231,0.99976,1,0.995,0.95168,0.30118,0.42526,0.76587,0.001472,0.001472,0.001472
6,454.52,0.31605,0.58993,0.80521,0.99977,1,0.995,0.96909,0.24979,0.43313,0.76579,0.00134,0.00134,0.00134
7,533.822,0.28642,0.49417,0.7948,0.99934,1,0.995,0.98721,0.22771,0.42431,0.76283,0.001208,0.001208,0.001208
8,612.198,0.25944,0.46269,0.79925,0.99974,1,0.995,0.98486,0.20716,0.38735,0.76172,0.001076,0.001076,0.001076
9,701.975,0.23855,0.43266,0.79336,0.99979,1,0.995,0.98631,0.21089,0.3654,0.76537,0.000944,0.000944,0.000944
10,786.454,0.22729,0.40279,0.78595,0.99978,1,0.995,0.9886,0.18775,0.34615,0.76809,0.000812,0.000812,0.000812
11,879.957,0.20935,0.38236,0.78758,0.99976,1,0.995,0.98896,0.161,0.34141,0.75956,0.00068,0.00068,0.00068
12,963.282,0.19324,0.36178,0.78843,0.99976,1,0.995,0.98963,0.16835,0.31231,0.76135,0.000548,0.000548,0.000548
13,1038.44,0.19265,0.3437,0.77788,0.99979,1,0.995,0.99227,0.13876,0.29809,0.75849,0.000416,0.000416,0.000416
14,1127.06,0.16766,0.3288,0.78038,0.99979,1,0.995,0.9922,0.12481,0.28912,0.75732,0.000284,0.000284,0.000284
15,1206.9,0.16862,0.32223,0.7844,0.99979,1,0.995,0.99172,0.12112,0.27636,0.75731,0.000152,0.000152,0.000152
