epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.321,0.7917,1.60521,1.2015,0.99939,1,0.995,0.79876,0.81701,0.92819,1.12097,0.000654762,0.000654762,0.000654762
2,161.736,0.77867,0.98571,1.15994,0.99541,1,0.995,0.83094,0.62231,0.77338,1.02037,0.00129526,0.00129526,0.00129526
3,228.911,0.71629,0.89468,1.12808,0.92602,1,0.9769,0.7136,0.78997,1.50573,1.24295,0.00190937,0.00190937,0.00190937
4,297.488,0.84038,0.88517,1.18804,0.99452,1,0.995,0.82855,0.74131,1.19659,1.09139,0.0018812,0.0018812,0.0018812
5,370.419,0.76008,0.80943,1.11889,0.99869,1,0.995,0.82748,0.69962,0.75688,1.14991,0.0018416,0.0018416,0.0018416
6,440.299,0.68225,0.81237,1.10275,0.97795,1,0.995,0.86183,0.60859,0.86957,1.00749,0.001802,0.001802,0.001802
7,508.632,0.61597,0.71477,1.03345,0.99818,1,0.995,0.85358,0.62146,0.64323,1.03751,0.0017624,0.0017624,0.0017624
8,576.583,0.58979,0.72553,1.03365,0.99897,1,0.995,0.84938,0.59117,0.60578,1.00962,0.0017228,0.0017228,0.0017228
9,644.901,0.58817,0.67425,1.02788,0.99951,1,0.995,0.86321,0.55377,0.60817,0.99449,0.0016832,0.0016832,0.0016832
10,715.643,0.56075,0.63079,1.00781,0.99902,1,0.995,0.8729,0.53491,0.57672,1.00804,0.0016436,0.0016436,0.0016436
11,786.388,0.53932,0.6281,1.00195,0.99928,1,0.995,0.88222,0.5065,0.52638,0.98256,0.001604,0.001604,0.001604
12,862.313,0.51268,0.63276,0.99108,0.99936,1,0.995,0.88548,0.47232,0.55492,0.95278,0.0015644,0.0015644,0.0015644
13,952.257,0.50644,0.60244,0.99499,0.99934,1,0.995,0.8853,0.48264,0.51203,0.95593,0.0015248,0.0015248,0.0015248
14,1042.39,0.50075,0.59315,0.9979,0.99928,1,0.995,0.87758,0.52377,0.51253,0.94236,0.0014852,0.0014852,0.0014852
15,1141.09,0.49607,0.57155,0.98254,0.9993,1,0.995,0.87871,0.492,0.49244,0.95972,0.0014456,0.0014456,0.0014456
16,1227.1,0.48586,0.57056,0.97827,0.99938,1,0.995,0.8782,0.47623,0.46264,0.98314,0.001406,0.001406,0.001406
17,1300.86,0.46904,0.55367,0.98373,0.99935,1,0.995,0.89061,0.48206,0.47851,0.95116,0.0013664,0.0013664,0.0013664
18,1373.26,0.48185,0.53128,0.9673,0.99945,1,0.995,0.89671,0.45562,0.46845,0.92482,0.0013268,0.0013268,0.0013268
19,1450.59,0.42802,0.5089,0.95065,0.99944,1,0.995,0.90969,0.41971,0.43683,0.90823,0.0012872,0.0012872,0.0012872
