display_name,species_display_name,form_display_name,dex_number,sprite_form,form_api_name,is_shiny,sprite_type,types,base_stats,original_filename,local_filename,local_path,source_page,image_url
Venusaur Mega,Venusaur,Venusaur Mega,0003,Mega,venusaur-mega,False,normal,grass|poison,"{""hp"": 80, ""attack"": 100, ""defense"": 123, ""special_attack"": 122, ""special_defense"": 120, ""speed"": 80}",Menu CP 0003-Mega.png,Menu_CP_0003-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0003-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0003-Mega.png,https://archives.bulbagarden.net/media/upload/d/dc/Menu_CP_0003-Mega.png
Venusaur,Venusaur,Venusaur,0003,,venusaur,False,normal,grass|poison,"{""hp"": 80, ""attack"": 82, ""defense"": 83, ""special_attack"": 100, ""special_defense"": 100, ""speed"": 80}",Menu CP 0003.png,Menu_CP_0003.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0003.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0003.png,https://archives.bulbagarden.net/media/upload/d/dd/Menu_CP_0003.png
Charizard Mega X,Charizard,Charizard Mega X,0006,Mega X,charizard-mega-x,False,normal,fire|dragon,"{""hp"": 78, ""attack"": 130, ""defense"": 111, ""special_attack"": 130, ""special_defense"": 85, ""speed"": 100}",Menu CP 0006-Mega X.png,Menu_CP_0006-Mega_X.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0006-Mega_X.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0006-Mega_X.png,https://archives.bulbagarden.net/media/upload/f/fb/Menu_CP_0006-Mega_X.png
Charizard Mega Y,Charizard,Charizard Mega Y,0006,Mega Y,charizard-mega-y,False,normal,fire|flying,"{""hp"": 78, ""attack"": 104, ""defense"": 78, ""special_attack"": 159, ""special_defense"": 115, ""speed"": 100}",Menu CP 0006-Mega Y.png,Menu_CP_0006-Mega_Y.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0006-Mega_Y.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0006-Mega_Y.png,https://archives.bulbagarden.net/media/upload/3/3d/Menu_CP_0006-Mega_Y.png
Charizard,Charizard,Charizard,0006,,charizard,False,normal,fire|flying,"{""hp"": 78, ""attack"": 84, ""defense"": 78, ""special_attack"": 109, ""special_defense"": 85, ""speed"": 100}",Menu CP 0006.png,Menu_CP_0006.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0006.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0006.png,https://archives.bulbagarden.net/media/upload/f/f7/Menu_CP_0006.png
Blastoise Mega,Blastoise,Blastoise Mega,0009,Mega,blastoise-mega,False,normal,water,"{""hp"": 79, ""attack"": 103, ""defense"": 120, ""special_attack"": 135, ""special_defense"": 115, ""speed"": 78}",Menu CP 0009-Mega.png,Menu_CP_0009-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0009-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0009-Mega.png,https://archives.bulbagarden.net/media/upload/7/78/Menu_CP_0009-Mega.png
Blastoise,Blastoise,Blastoise,0009,,blastoise,False,normal,water,"{""hp"": 79, ""attack"": 83, ""defense"": 100, ""special_attack"": 85, ""special_defense"": 105, ""speed"": 78}",Menu CP 0009.png,Menu_CP_0009.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0009.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0009.png,https://archives.bulbagarden.net/media/upload/4/40/Menu_CP_0009.png
Beedrill Mega,Beedrill,Beedrill Mega,0015,Mega,beedrill-mega,False,normal,bug|poison,"{""hp"": 65, ""attack"": 150, ""defense"": 40, ""special_attack"": 15, ""special_defense"": 80, ""speed"": 145}",Menu CP 0015-Mega.png,Menu_CP_0015-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0015-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0015-Mega.png,https://archives.bulbagarden.net/media/upload/0/0f/Menu_CP_0015-Mega.png
Beedrill,Beedrill,Beedrill,0015,,beedrill,False,normal,bug|poison,"{""hp"": 65, ""attack"": 90, ""defense"": 40, ""special_attack"": 45, ""special_defense"": 80, ""speed"": 75}",Menu CP 0015.png,Menu_CP_0015.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0015.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0015.png,https://archives.bulbagarden.net/media/upload/7/76/Menu_CP_0015.png
Pidgeot Mega,Pidgeot,Pidgeot Mega,0018,Mega,pidgeot-mega,False,normal,normal|flying,"{""hp"": 83, ""attack"": 80, ""defense"": 80, ""special_attack"": 135, ""special_defense"": 80, ""speed"": 121}",Menu CP 0018-Mega.png,Menu_CP_0018-Mega.png,D:\SoftwareEng\ChampionsInsight\backend\Pokemon_Data\data\champions_sprites\normal\Menu_CP_0018-Mega.png,https://archives.bulbagarden.net/wiki/File:Menu_CP_0018-Mega.png,https://archives.bulbagarden.net/media/upload/f/f8/Menu_CP_0018-Mega.png
