dex_number,dex_number_int,species_display_name,form_display_name,form_api_name,is_default,types,hp,attack,defense,special_attack,special_defense,speed,abilities,move_count,height,weight,generation,is_legendary,is_mythical
0001,1,Bulbasaur,Bulbasaur,bulbasaur,True,grass|poison,45,49,49,65,65,45,Overgrow|Chlorophyll,86,7,69,generation-i,False,False
0002,2,Ivysaur,Ivysaur,ivysaur,True,grass|poison,60,62,63,80,80,60,Overgrow|Chlorophyll,83,10,130,generation-i,False,False
0003,3,Venusaur,Venusaur,venusaur,True,grass|poison,80,82,83,100,100,80,Overgrow|Chlorophyll,96,20,1000,generation-i,False,False
0003,3,Venusaur,Venusaur Mega,venusaur-mega,False,grass|poison,80,100,123,122,120,80,Thick Fat,66,24,1555,generation-i,False,False
0003,3,Venusaur,Venusaur Gmax,venusaur-gmax,False,grass|poison,80,82,83,100,100,80,Overgrow|Chlorophyll,0,240,10000,generation-i,False,False
0004,4,Charmander,Charmander,charmander,True,fire,39,52,43,60,50,65,Blaze|Solar Power,105,6,85,generation-i,False,False
0005,5,Charmeleon,Charmeleon,charmeleon,True,fire,58,64,58,80,65,80,Blaze|Solar Power,103,11,190,generation-i,False,False
0006,6,Charizard,Charizard,charizard,True,fire|flying,78,84,78,109,85,100,Blaze|Solar Power,131,17,905,generation-i,False,False
0006,6,Charizard,Charizard Mega X,charizard-mega-x,False,fire|dragon,78,130,111,130,85,100,Tough Claws,83,17,1105,generation-i,False,False
0006,6,Charizard,Charizard Mega Y,charizard-mega-y,False,fire|flying,78,104,78,159,115,100,Drought,83,17,1005,generation-i,False,False
0006,6,Charizard,Charizard Gmax,charizard-gmax,False,fire|flying,78,84,78,109,85,100,Blaze|Solar Power,0,280,10000,generation-i,False,False
0007,7,Squirtle,Squirtle,squirtle,True,water,44,48,65,50,64,43,Torrent|Rain Dish,105,5,90,generation-i,False,False
0008,8,Wartortle,Wartortle,wartortle,True,water,59,63,80,65,80,58,Torrent|Rain Dish,101,10,225,generation-i,False,False
0009,9,Blastoise,Blastoise,blastoise,True,water,79,83,100,85,105,78,Torrent|Rain Dish,120,16,855,generation-i,False,False
0009,9,Blastoise,Blastoise Mega,blastoise-mega,False,water,79,103,120,135,115,78,Mega Launcher,73,16,1011,generation-i,False,False
0009,9,Blastoise,Blastoise Gmax,blastoise-gmax,False,water,79,83,100,85,105,78,Torrent|Rain Dish,0,250,10000,generation-i,False,False
0010,10,Caterpie,Caterpie,caterpie,True,bug,45,30,35,20,20,45,Shield Dust|Run Away,5,3,29,generation-i,False,False
0011,11,Metapod,Metapod,metapod,True,bug,50,20,55,25,25,30,Shed Skin,5,7,99,generation-i,False,False
0012,12,Butterfree,Butterfree,butterfree,True,bug|flying,60,45,50,90,80,70,Compound Eyes|Tinted Lens,87,11,320,generation-i,False,False
0012,12,Butterfree,Butterfree Gmax,butterfree-gmax,False,bug|flying,60,45,50,90,80,70,Compound Eyes|Tinted Lens,0,170,10000,generation-i,False,False
0013,13,Weedle,Weedle,weedle,True,bug|poison,40,35,30,20,20,50,Shield Dust|Run Away,4,3,32,generation-i,False,False
0014,14,Kakuna,Kakuna,kakuna,True,bug|poison,45,25,50,25,25,35,Shed Skin,5,6,100,generation-i,False,False
0015,15,Beedrill,Beedrill,beedrill,True,bug|poison,65,90,40,45,80,75,Swarm|Sniper,83,10,295,generation-i,False,False
0015,15,Beedrill,Beedrill Mega,beedrill-mega,False,bug|poison,65,150,40,15,80,145,Adaptability,64,14,405,generation-i,False,False
0016,16,Pidgey,Pidgey,pidgey,True,normal|flying,40,45,40,35,35,56,Keen Eye|Tangled Feet|Big Pecks,64,3,18,generation-i,False,False
0017,17,Pidgeotto,Pidgeotto,pidgeotto,True,normal|flying,63,60,55,50,50,71,Keen Eye|Tangled Feet|Big Pecks,61,11,300,generation-i,False,False
0018,18,Pidgeot,Pidgeot,pidgeot,True,normal|flying,83,80,75,70,70,101,Keen Eye|Tangled Feet|Big Pecks,63,15,395,generation-i,False,False
0018,18,Pidgeot,Pidgeot Mega,pidgeot-mega,False,normal|flying,83,80,80,135,80,121,No Guard,48,22,505,generation-i,False,False
0019,19,Rattata,Rattata,rattata,True,normal,30,56,35,25,35,72,Run Away|Guts|Hustle,82,3,35,generation-i,False,False
0019,19,Rattata,Rattata Alola,rattata-alola,False,dark|normal,30,56,35,25,35,72,Gluttony|Hustle|Thick Fat,63,3,38,generation-i,False,False
0020,20,Raticate,Raticate,raticate,True,normal,55,81,60,50,70,97,Run Away|Guts|Hustle,85,7,185,generation-i,False,False
0020,20,Raticate,Raticate Alola,raticate-alola,False,dark|normal,75,71,70,40,80,77,Gluttony|Hustle|Thick Fat,67,7,255,generation-i,False,False
0020,20,Raticate,Raticate Totem Alola,raticate-totem-alola,False,dark|normal,75,71,70,40,80,77,Gluttony|Hustle|Thick Fat,63,14,1050,generation-i,False,False
0021,21,Spearow,Spearow,spearow,True,normal|flying,40,60,30,31,31,70,Keen Eye|Sniper,70,3,20,generation-i,False,False
0022,22,Fearow,Fearow,fearow,True,normal|flying,65,90,65,61,61,100,Keen Eye|Sniper,69,12,380,generation-i,False,False
0023,23,Ekans,Ekans,ekans,True,poison,35,60,44,40,54,55,Intimidate|Shed Skin|Unnerve,95,20,69,generation-i,False,False
0024,24,Arbok,Arbok,arbok,True,poison,60,95,69,65,79,80,Intimidate|Shed Skin|Unnerve,102,35,650,generation-i,False,False
0025,25,Pikachu,Pikachu,pikachu,True,electric,35,55,40,50,50,90,Static|Lightning Rod,105,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Rock Star,pikachu-rock-star,False,electric,35,55,40,50,50,90,Static|Lightning Rod,55,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Belle,pikachu-belle,False,electric,35,55,40,50,50,90,Static|Lightning Rod,55,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Pop Star,pikachu-pop-star,False,electric,35,55,40,50,50,90,Static|Lightning Rod,55,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Phd,pikachu-phd,False,electric,35,55,40,50,50,90,Static|Lightning Rod,55,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Libre,pikachu-libre,False,electric,35,55,40,50,50,90,Static|Lightning Rod,55,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Cosplay,pikachu-cosplay,False,electric,35,55,40,50,50,90,Static|Lightning Rod,54,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Original Cap,pikachu-original-cap,False,electric,35,55,40,50,50,90,Static|Lightning Rod,77,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Hoenn Cap,pikachu-hoenn-cap,False,electric,35,55,40,50,50,90,Static|Lightning Rod,77,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Sinnoh Cap,pikachu-sinnoh-cap,False,electric,35,55,40,50,50,90,Static|Lightning Rod,88,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Unova Cap,pikachu-unova-cap,False,electric,35,55,40,50,50,90,Static|Lightning Rod,77,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Kalos Cap,pikachu-kalos-cap,False,electric,35,55,40,50,50,90,Static|Lightning Rod,87,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Alola Cap,pikachu-alola-cap,False,electric,35,55,40,50,50,90,Static|Lightning Rod,77,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Partner Cap,pikachu-partner-cap,False,electric,35,55,40,50,50,90,Static|Lightning Rod,77,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Starter,pikachu-starter,False,electric,45,80,50,75,60,120,Static|Lightning Rod,30,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu World Cap,pikachu-world-cap,False,electric,35,55,40,50,50,90,Static|Lightning Rod,62,4,60,generation-i,False,False
0025,25,Pikachu,Pikachu Gmax,pikachu-gmax,False,electric,35,55,40,50,50,90,Static|Lightning Rod,0,210,10000,generation-i,False,False
0026,26,Raichu,Raichu,raichu,True,electric,60,90,55,90,80,110,Static|Lightning Rod,109,8,300,generation-i,False,False
0026,26,Raichu,Raichu Alola,raichu-alola,False,electric|psychic,60,85,50,95,85,110,Surge Surfer,101,7,210,generation-i,False,False
0026,26,Raichu,Raichu Mega X,raichu-mega-x,False,electric,60,135,95,90,95,110,,0,12,380,generation-i,False,False
0026,26,Raichu,Raichu Mega Y,raichu-mega-y,False,electric,60,100,55,160,80,130,,0,10,260,generation-i,False,False
0027,27,Sandshrew,Sandshrew,sandshrew,True,ground,50,75,85,20,30,40,Sand Veil|Sand Rush,99,6,120,generation-i,False,False
0027,27,Sandshrew,Sandshrew Alola,sandshrew-alola,False,ice|steel,50,75,90,10,35,40,Snow Cloak|Slush Rush,91,7,400,generation-i,False,False
0028,28,Sandslash,Sandslash,sandslash,True,ground,75,100,110,45,55,65,Sand Veil|Sand Rush,103,10,295,generation-i,False,False
0028,28,Sandslash,Sandslash Alola,sandslash-alola,False,ice|steel,75,100,120,25,65,65,Snow Cloak|Slush Rush,99,12,550,generation-i,False,False
0029,29,Nidoran♀,Nidoran♀,nidoran-f,True,poison,55,47,52,40,40,41,Poison Point|Rivalry|Hustle,78,4,70,generation-i,False,False
0030,30,Nidorina,Nidorina,nidorina,True,poison,70,62,67,55,55,56,Poison Point|Rivalry|Hustle,77,8,200,generation-i,False,False
0031,31,Nidoqueen,Nidoqueen,nidoqueen,True,poison|ground,90,92,87,75,85,76,Poison Point|Rivalry|Sheer Force,133,13,600,generation-i,False,False
0032,32,Nidoran♂,Nidoran♂,nidoran-m,True,poison,46,57,40,40,40,50,Poison Point|Rivalry|Hustle,80,5,90,generation-i,False,False
0033,33,Nidorino,Nidorino,nidorino,True,poison,61,72,57,55,55,65,Poison Point|Rivalry|Hustle,76,9,195,generation-i,False,False
0034,34,Nidoking,Nidoking,nidoking,True,poison|ground,81,102,77,85,75,85,Poison Point|Rivalry|Sheer Force,134,14,620,generation-i,False,False
0035,35,Clefairy,Clefairy,clefairy,True,fairy,70,45,48,60,65,35,Cute Charm|Magic Guard|Friend Guard,161,6,75,generation-i,False,False
0036,36,Clefable,Clefable,clefable,True,fairy,95,70,73,95,90,60,Cute Charm|Magic Guard|Unaware,163,13,400,generation-i,False,False
0036,36,Clefable,Clefable Mega,clefable-mega,False,fairy|flying,95,80,93,135,110,70,Magic Bounce,0,17,423,generation-i,False,False
0037,37,Vulpix,Vulpix,vulpix,True,fire,38,41,40,50,65,65,Flash Fire|Drought,88,6,99,generation-i,False,False
0037,37,Vulpix,Vulpix Alola,vulpix-alola,False,ice,38,41,40,50,65,65,Snow Cloak|Snow Warning,88,6,99,generation-i,False,False
0038,38,Ninetales,Ninetales,ninetales,True,fire,73,76,75,81,100,100,Flash Fire|Drought,98,11,199,generation-i,False,False
